City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
16,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Butaritari,KI,81.57,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
24,Laguna,US,99.28,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
25,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
39,Minab,IR,83.61,clear sky,27.1467,57.0801,Bam campground
50,Praxedis Guerrero,MX,87.26,clear sky,31.3667,-106.0167,Congregación placitas de Otero
52,Georgetown,MY,85.95,thunderstorm,5.4112,100.3354,Cititel Penang
54,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
55,Kavieng,PG,84.67,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
60,Kattivakkam,IN,86.09,few clouds,13.2167,80.3167,Euronova Freezer
77,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
82,Houma,US,82.4,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
85,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
97,Pemangkat,ID,82.0,overcast clouds,1.1667,108.9667,Ramah Kost KITA
99,Cape Canaveral,US,81.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
102,Samarai,PG,81.61,few clouds,-10.6167,150.6667,Nuli Sapi
103,Dhidhdhoo,MV,83.08,broken clouds,6.8833,73.1,Dhidhoo beach
110,Faanui,PF,81.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
112,Kapaa,US,80.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Pacifica,US,90.99,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
118,Waingapu,ID,83.5,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
119,Gigmoto,PH,86.47,broken clouds,13.7796,124.39,Cj's Travellers Inn
123,Raisen,IN,85.51,clear sky,23.3333,77.8,Hotel Amogh
125,Dingle,PH,86.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
135,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
140,Puerto Castilla,HN,83.23,broken clouds,16.0167,-85.9667,Jito Beach
144,Matamoros,MX,93.31,clear sky,25.5333,-103.25,Quinta Belem
157,Bikaner,IN,80.15,clear sky,28.0167,73.3,The Laxmi Niwas Palace
168,Hithadhoo,MV,82.58,clear sky,-0.6,73.0833,Scoop Guest House
174,Jimenez,MX,92.08,clear sky,28.3333,-105.4,El torreon
175,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
180,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
185,Qui Nhon,VN,83.8,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
186,Alyangula,AU,82.9,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
198,Sibu,MY,84.0,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
202,Vaitape,PF,81.34,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
203,Maine-Soroa,NE,81.97,clear sky,13.2114,12.0241,Complexe
225,Eyl,SO,81.1,clear sky,7.9803,49.8164,Amiin Hotel
227,Teahupoo,PF,80.56,scattered clouds,-17.8333,-149.2667,Vanira Lodge
228,Sulangan,PH,83.71,scattered clouds,11.1373,123.7228,Maia's Beach Resort
229,Ormara,PK,82.09,scattered clouds,25.2088,64.6357,Kenara Colony house for Rent
240,Jiwani,PK,82.81,clear sky,25.05,61.7417,Hamza hotel jiwani
246,Port Blair,IN,82.85,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
248,Tibiri,NE,84.63,clear sky,13.5627,7.0485,FADA GAO FA TIBIRI
250,Lorengau,PG,85.08,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Kishanpur,IN,84.34,clear sky,25.65,81.0167,Vandan Marriage Hall
257,Bandarbeyla,SO,80.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
270,Veraval,IN,83.05,overcast clouds,20.9,70.3667,Lords Inn Somnath
275,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
280,Kavaratti,IN,83.26,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
288,Khed Brahma,IN,81.48,clear sky,24.0333,73.05,UMIYA NASTA HOUSE
293,Bajil,YE,82.08,clear sky,15.0584,43.2851,فندق حضرموت
295,Aloleng,PH,84.42,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
297,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
312,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
325,Awbari,LY,82.45,clear sky,26.5921,12.7805,فندق أوباري
330,Pearland,US,80.65,clear sky,29.5636,-95.286,Hampton Inn Houston-Pearland
335,Daru,PG,84.2,few clouds,-9.0763,143.2092,Daru Lodge
336,Mulege,MX,81.63,clear sky,26.8833,-111.9833,Casa Granada
338,Hami,CN,88.29,overcast clouds,42.8,93.45,Laoyutang Resort
344,Fare,PF,80.6,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
350,Wanning,CN,80.76,light rain,18.8003,110.3967,Paradise Hotel
359,Half Moon Bay,US,94.87,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
363,Sampit,ID,80.98,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
377,Pasni,PK,80.96,clear sky,25.2631,63.471,Kashmiri Hotal
380,Jining,CN,82.99,scattered clouds,35.405,116.5814,Yunhe Star Hotel
391,Honiara,SB,85.1,scattered clouds,-9.4333,159.95,Heritage Park Hotel
395,Ende,ID,82.56,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
398,Vanimo,PG,85.5,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
407,Biak,ID,81.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
408,Sweetwater,US,81.01,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
412,Korla,CN,85.21,overcast clouds,41.7597,86.1469,Gulisitan Hotel
413,Arawa,PG,88.48,broken clouds,-6.2132,155.5367,Coastline Guest House
426,Ascension,US,82.62,broken clouds,30.2169,-90.9001,Highland Inn
432,Ghatanji,IN,87.19,clear sky,20.1333,78.3167,गजानन माहराज मदील घाटजी
435,Maumere,ID,81.82,overcast clouds,-8.6199,122.2111,Sylvia Hotel
436,The Valley,AI,80.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
440,Kupang,ID,85.03,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
441,Amahai,ID,80.24,light rain,-3.3333,128.9167,HOTEL ISABELA
442,Kirakira,SB,83.8,scattered clouds,-10.4544,161.9205,SanBiz Lodge
443,Portobelo,PA,80.73,overcast clouds,9.55,-79.65,Scuba Portobelo
459,Dicabisagan,PH,87.12,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
466,Jammalamadugu,IN,85.71,overcast clouds,14.8333,78.4,R and B Guest House
470,Abu Dhabi,AE,82.42,dust,24.4667,54.3667,Beach Rotana
474,Guanica,PR,80.91,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
478,Sur,OM,87.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
481,Sakhon Nakhon,TH,82.35,scattered clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
484,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
485,Atambua,ID,81.45,broken clouds,-9.1061,124.8925,Kost Alfa Flat
486,Kieta,PG,86.29,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
487,Santa Marta,CO,85.89,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
491,Punta Gorda,US,82.44,broken clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
492,Kedougou,SN,86.43,light rain,12.5579,-12.1743,Relais de Kédougou
505,Banda Aceh,ID,82.85,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
522,San Patricio,US,82.54,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
524,Tual,ID,82.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
525,Kailua,US,84.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
533,Phulabani,IN,83.05,few clouds,20.4667,84.2333,Hotel Raj Kamal
539,Ternate,ID,81.81,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
553,Makasar,ID,84.25,few clouds,-5.14,119.4221,Aryaduta Makassar
558,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
563,Pacific Grove,US,80.55,clear sky,36.6177,-121.9166,Lovers Point Inn
569,Manggar,ID,84.54,light rain,-2.8833,108.2667,Guest Hotel
570,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
573,Nirmal,IN,88.39,clear sky,19.1,78.35,Hotel Mayuri
