City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.68,74,14,10.54,light rain
1,Tiksi,RU,71.6872,128.8694,32.31,99,100,11.23,light snow
2,Qaanaaq,GL,77.484,-69.3632,22.35,85,38,2.93,scattered clouds
3,Kosai,JP,34.7105,137.5316,73.56,60,84,9.35,broken clouds
4,Dikson,RU,73.5069,80.5464,28.35,74,100,6.91,overcast clouds
5,Pevek,RU,69.7008,170.3133,34.84,91,95,5.68,overcast clouds
6,Bluff,NZ,-46.6,168.3333,48.79,73,100,19.42,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,72.55,75,2,17.56,clear sky
8,Cabo San Lucas,MX,22.8909,-109.9124,81.61,50,0,12.66,clear sky
9,Tasiilaq,GL,65.6145,-37.6368,32.16,98,100,2.57,light snow
10,Atuona,PF,-9.8,-139.0333,77.77,77,17,14.61,few clouds
11,Ponta Delgada,PT,37.7333,-25.6667,59.5,77,20,6.91,few clouds
12,Zyryanka,RU,65.75,150.85,58.96,34,4,11.68,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,37.51,75,20,14.97,few clouds
14,Mujiayingzi,CN,42.1167,118.7833,61.23,33,3,19.39,clear sky
15,Barrow,US,71.2906,-156.7887,28.42,93,100,0.0,mist
16,Vaini,TO,-21.2,-175.2,80.76,89,75,5.75,broken clouds
17,Nikolskoye,RU,59.7035,30.7861,41.72,93,0,0.74,clear sky
18,Bethel,US,41.3712,-73.414,59.14,71,43,4.59,scattered clouds
19,Emerald,AU,-23.5333,148.1667,71.35,66,100,7.7,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,72.55,94,80,5.99,broken clouds
21,Chuy,UY,-33.6971,-53.4616,59.47,88,100,4.92,overcast clouds
22,Butaritari,KI,3.0707,172.7902,81.57,77,100,7.18,overcast clouds
23,Port Hedland,AU,-20.3167,118.5667,78.85,44,10,12.66,clear sky
24,Laguna,US,38.421,-121.4238,99.28,13,0,13.8,clear sky
25,Hilo,US,19.7297,-155.09,84.27,67,75,11.5,broken clouds
26,Mahebourg,MU,-20.4081,57.7,70.25,80,37,7.67,light rain
27,Nanortalik,GL,60.1432,-45.2371,31.96,70,4,31.0,clear sky
28,Cape Town,ZA,-33.9258,18.4232,60.28,94,94,1.99,overcast clouds
29,Chlum U Trebone,CZ,48.9623,14.928,55.78,98,100,3.18,heavy intensity rain
30,Albany,US,42.6001,-73.9662,64.45,65,100,2.55,overcast clouds
