City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-22 02:41:35,-54.8,-68.3,37.06,81,0,6.91
1,Bambous Virieux,MU,2022-05-22 02:41:35,-20.3428,57.7575,70.05,83,40,16.11
2,Prince George,CA,2022-05-22 02:40:15,53.9166,-122.753,62.04,25,0,2.3
3,Sitka,US,2022-05-22 02:41:30,57.0531,-135.33,58.89,44,0,3.44
4,Kununurra,AU,2022-05-22 02:41:36,-15.7667,128.7333,85.98,28,7,10.36
5,Rikitea,PF,2022-05-22 02:41:36,-23.1203,-134.9692,75.76,75,3,13.06
6,Lossiemouth,GB,2022-05-22 02:41:36,57.7214,-3.2834,56.16,78,0,5.75
7,Saint-Augustin,CA,2022-05-22 02:41:37,51.226,-58.6502,46.0,88,100,16.75
8,Bengkulu,ID,2022-05-22 02:41:37,-3.8004,102.2655,83.64,66,33,2.8
9,Albany,US,2022-05-22 02:41:38,42.6001,-73.9662,76.53,84,48,2.95
10,Faanui,PF,2022-05-22 02:41:38,-16.4833,-151.75,80.87,70,11,10.49
11,Baykit,RU,2022-05-22 02:41:38,61.67,96.37,46.49,90,100,4.63
12,Clonakilty,IE,2022-05-22 02:41:39,51.6231,-8.8706,55.09,96,100,13.58
13,Airai,TL,2022-05-22 02:41:39,-8.9266,125.4092,74.32,47,23,4.59
14,Kapaa,US,2022-05-22 02:41:39,22.0752,-159.319,80.58,84,40,11.5
15,Bograd,RU,2022-05-22 02:41:40,54.2344,90.8328,71.83,37,49,9.22
16,Floriano,BR,2022-05-22 02:41:41,-6.7669,-43.0225,70.29,92,47,3.02
17,Georgetown,MY,2022-05-22 02:38:18,5.4112,100.3354,87.73,78,20,3.44
18,Spijkenisse,NL,2022-05-22 02:41:41,51.845,4.3292,52.02,82,16,1.14
19,Punta Arenas,CL,2022-05-22 02:41:42,-53.15,-70.9167,37.51,75,75,5.75
20,Busselton,AU,2022-05-22 02:41:45,-33.65,115.3333,67.5,71,22,19.64
21,Nargana,PA,2022-05-22 02:41:46,9.4428,-78.5906,80.64,81,86,3.6
22,Tomatlan,MX,2022-05-22 02:41:46,19.9333,-105.25,71.47,86,0,2.89
23,Ribeira Grande,PT,2022-05-22 02:41:46,38.5167,-28.7,64.06,94,100,0.94
24,Jamestown,US,2022-05-22 02:38:37,42.097,-79.2353,65.01,95,100,6.91
25,Arraial Do Cabo,BR,2022-05-22 02:41:47,-22.9661,-42.0278,69.31,71,17,6.15
26,Bredasdorp,ZA,2022-05-22 02:41:47,-34.5322,20.0403,51.51,85,50,5.93
27,Hobart,AU,2022-05-22 02:41:48,-42.8794,147.3294,54.27,77,75,13.8
